Record ID,Robot Name,Description,Manufacturer,Robot Type,Form Factor,Commercial Status,Official Website,Source,Source URL,Website Verified
robot:openhumanoids/oh-distro,oh-distro,"An integrated humanoid control, planning and perception system. Developed by MIT and the University of Edinburgh for the Boston Dynamics Atlas and the NASA Valkyrie humanoid robots",openhumanoids,Humanoid Robot,,Commercial Product,http://drc.mit.edu,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:loongopen/openloong-hardware,OpenLoong-Hardware,Hardware System for Humanoid Robots,loongOpen,Humanoid Robot,,Commercial Product,https://openloong.org.cn/cn/documents/robot/product_introduction,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:unitreerobotics/kinect_teleoperate,kinect_teleoperate,This repository implements teleoperation of the Unitree humanoid robot  H1 / G1 using Azure Kinect DK camera.,unitreerobotics,Humanoid Robot,,Commercial Product,https://support.unitree.com/home/zh/Teleoperation/kinect_teleoperate,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:jtydhr88/comfyui-kimodo,ComfyUI-Kimodo,A ComfyUI plugin that wraps [Kimodo](https://github.com/nv-tlabs/kimodo) — NVIDIA's kinematic motion diffusion model for generating high-quality 3D human and humanoid robot motions from text prompts with optional kinematic constraints.,jtydhr88,Humanoid Robot,,Research Platform,https://github.com/jtydhr88/ComfyUI-Kimodo,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:hao-starrr/humanoid-arm-retarget,humanoid-arm-retarget,Humanoid robot arms retarget algorithm with VisionPro app ,Hao-Starrr,Humanoid Robot,,Research Platform,https://github.com/Hao-Starrr/humanoid-arm-retarget,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:smoggy-p/elevation_mapping_humanoid,elevation_mapping_humanoid,The implementation of elevation mapping on humanoid robots using a single MID-360 LiDAR.,smoggy-P,Humanoid Robot,,Research Platform,https://github.com/smoggy-P/elevation_mapping_humanoid,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:noitom-robotics/adapt,AdaPT,"[CoRL 2026] The official implementation of ""AdaPT: Towards Professional Tennis Styles for Humanoid Robots with Adaptive Motion Planning and Tracking.""",noitom-robotics,Humanoid Robot,,Research Platform,https://github.com/noitom-robotics/AdaPT,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:gunthercox/salvius,Salvius,An open source humanoid robot made from recycled parts and open source technology,gunthercox,Humanoid Robot,,Commercial Product,https://salvius.org,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:loongopen/openloong-gymloong,OpenLoong-Gymloong,Training Platform for Humanoid Robots,loongOpen,Humanoid Robot,,Research Platform,https://github.com/loongOpen/OpenLoong-Gymloong,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:btfrontier/polygon_mapping,polygon_mapping,Real-time and efficient polygonal mapping designed for humanoid robots.,BTFrontier,Humanoid Robot,,Research Platform,https://github.com/BTFrontier/polygon_mapping,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:zixinz990/humanoid-trajopt-playground,humanoid-trajopt-playground,Trajectory Optimization for Challenging Maneuvers on Humanoid Robots,zixinz990,Humanoid Robot,,Research Platform,https://github.com/zixinz990/humanoid-trajopt-playground,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:open-x-humanoid/pelican-vl,pelican-vl,"Pelican-VL 1.0 is a new family of open-source embodied brain models with parameter scales ranging from 7B to 72B developed by WFM System Group, Beijing Innovation Center of Humanoid Robotics (X-Humanoid).",Open-X-Humanoid,Humanoid Robot,,Commercial Product,https://pelican-vl.github.io,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:red-rabbit-robotics/rx1_servo_hardware,rx1_servo_hardware,servo hardware files for rx1 humanoid robot,Red-Rabbit-Robotics,Humanoid Robot,,Research Platform,https://github.com/Red-Rabbit-Robotics/rx1_servo_hardware,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:0artanis0/learninghumanoidrunning,LearningHumanoidRunning,"Training a humanoid robot to run using reinforcement learning, with the addition of arm joints, an expanded 28-dimensional observation space, and new reward functions related to arm movements.",0artanis0,Humanoid Robot,,Research Platform,https://github.com/0artanis0/LearningHumanoidRunning,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:ri-chard-wu/qt3,QT3,A humanoid robot arm,Ri-chard-Wu,Humanoid Robot,,Research Platform,https://github.com/Ri-chard-Wu/QT3,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:golaced/rl_boy,RL_Boy,RL-Boy Reinforcement Kid is a small-sized open-source robot project and a full-stack open-source scaled-down humanoid robot project. ,golaced,Humanoid Robot,,Research Platform,https://github.com/golaced/RL_Boy,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:deepglint/ros_navigation_humanoid,ros_navigation_humanoid,"This repo is use for humanoid robot navigation, include path planning and control signal",deepglint,Humanoid Robot,,Research Platform,https://github.com/deepglint/ros_navigation_humanoid,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:open-x-humanoid/x-humanoid-training-toolchain,x-humanoid-training-toolchain,This project provides a training toolchain for adapting TienKung humanoid robots and RoboMIND dataset with the open-source LeRobot framework.,Open-X-Humanoid,Humanoid Robot,,Research Platform,https://github.com/Open-X-Humanoid/x-humanoid-training-toolchain,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:beingbeyond/bumblebee,BumbleBee,"From Experts to a Generalist: Toward General Whole-Body Control for Humanoid Robots (NeurIPS 2025, Spotlight)",BeingBeyond,Humanoid Robot,,Research Platform,https://github.com/BeingBeyond/BumbleBee,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:telehuman/humanoidsoccer,HumanoidSoccer,Learning Soccer Skills for Humanoid Robots: A Progressive Perception-Action Framework,TeleHuman,Humanoid Robot,,Research Platform,https://github.com/TeleHuman/HumanoidSoccer,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:red-rabbit-robotics/rx1_bom,rx1_bom,hardware BOM for rx1 humanoid robot,Red-Rabbit-Robotics,Humanoid Robot,,Research Platform,https://github.com/Red-Rabbit-Robotics/rx1_bom,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:mrzuang/grit_teleop_deploy,GRIT_teleop_deploy,"This repository provides Unitree G1 deployment code for GRIT v0.0.1, a whole-body motion-tracking control algorithm for humanoid robots. ",mrzuang,Humanoid Robot,,Research Platform,https://github.com/mrzuang/GRIT_teleop_deploy,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:hoshi-no-ai/cmoe,CMoE,CMoE: Contrastive Mixture of Experts for Motion Control and Terrain Adaptation of Humanoid Robots,Hoshi-No-Ai,Humanoid Robot,,Commercial Product,https://hoshi-no-ai.github.io/CMoE,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:pigbond/olympics-mujoco,olympics-mujoco,"A Mujoco-based simulation platform for humanoid robots with a 3-tier architecture, supporting imitation and reinforcement learning, and featuring trajectory visualization for efficient R&D.",pigBond,Humanoid Robot,,Research Platform,https://github.com/pigBond/olympics-mujoco,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:beingbeyond/being-0,Being-0,Being-0: A Humanoid Robotic Agent with Vision-Language Models and Modular Skills,BeingBeyond,Humanoid Robot,,Research Platform,https://github.com/BeingBeyond/Being-0,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:assadollahi/kayra,kayra,"an easy to modify, 3d printable open source humanoid robot evolved by the community",assadollahi,Humanoid Robot,,Research Platform,https://github.com/assadollahi/kayra,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:iotdesignshop/dexhand_ros2_meta,dexhand_ros2_meta,Metapackage for DexHand ROS 2 Packages. Used to manage the collection of ROS 2 packages and environment for the DexHand humanoid robot hand.,iotdesignshop,Humanoid Robot,,Research Platform,https://github.com/iotdesignshop/dexhand_ros2_meta,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:rumblingturtle/recap,recap,Motion capture retargeting library for humanoid robots,RumblingTurtle,Humanoid Robot,,Research Platform,https://github.com/RumblingTurtle/recap,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:iotdesignshop/dexhand-mechanical-build,dexhand-mechanical-build,"Mechanical, BOM, and Instructional Materials for Building the DexHand Open Source Dexterous Humanoid Robot Hand",iotdesignshop,Humanoid Robot,,Research Platform,https://github.com/iotdesignshop/dexhand-mechanical-build,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:nathanwu7/humanoidverse3,HumanoidVerse3,An all-in-one project for humanoid robots from locomotion to motion tracking.,NathanWu7,Humanoid Robot,,Research Platform,https://github.com/NathanWu7/HumanoidVerse3,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:wiredgeist/mk1,MK1,This repository contains the simulation assets for the Mk1 humanoid robot featured in my YouTube video.,WiredGeist,Humanoid Robot,,Research Platform,https://github.com/WiredGeist/MK1,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:jixingao/kilvo,KILVO,Kinematic-Inertial-LiDAR-Visual Odometry with Robust Multimodal Adaptation for Humanoid Robots,JixinGao,Humanoid Robot,,Research Platform,https://github.com/JixinGao/KILVO,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:jixingao/hr2-kilo,HR2-KILO,"A High-Rate, Robust, Kinematic-Inertial-LiDAR Odometry for Humanoid Robots",JixinGao,Humanoid Robot,,Research Platform,https://github.com/JixinGao/HR2-KILO,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:red-rabbit-robotics/rx1_arm_hardware,rx1_arm_hardware,robotic arm hardware files for rx1 humanoid robot,Red-Rabbit-Robotics,Humanoid Robot,,Research Platform,https://github.com/Red-Rabbit-Robotics/rx1_arm_hardware,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:engineai-robotics/engineai_robotics_native_sdk,engineai_robotics_native_sdk,"This repository provides the EngineAI Native Control SDK, designed for humanoid robot application development and system integration.",engineai-robotics,Humanoid Robot,,Research Platform,https://github.com/engineai-robotics/engineai_robotics_native_sdk,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:cyberbotics/wrestling,wrestling,Humanoid robot wrestling competition,cyberbotics,Humanoid Robot,,Commercial Product,https://webots.cloud/run?version=R2023a&url=https%3A%2F%2Fgithub.com%2Fcyberbotics%2Fwrestling%2Fblob%2Fmain%2Fworlds%2Fwrestling.wbt&type=competition,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:dhanvanth0905/nao-humanoid-robot,NAO-Humanoid-Robot,,Dhanvanth0905,Humanoid Robot,,Research Platform,https://github.com/Dhanvanth0905/NAO-Humanoid-Robot,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:naohtwk/htwk-gym,htwk-gym,"Advanced RL framework for humanoid robot locomotion. Supports T1/K1 robots with parameterized walking, ball-kicking, and complete training-to-deployment pipeline. Features multi-format export (PyTorch JIT, TensorFlow Lite), real-time control, and pre-trained models for immediate deployment.",NaoHTWK,Humanoid Robot,,Research Platform,https://github.com/NaoHTWK/htwk-gym,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:robotology/icub-models,icub-models,Official URDF and SDF models of the iCub humanoid robot. ,robotology,Humanoid Robot,,Research Platform,https://github.com/robotology/icub-models,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:catachiii/crl-humanoid-ros,crl-humanoid-ros," A ROS 2 framework for humanoid robot simulation and control, developed by the Computational Robotics Lab (CRL) at ETH Zurich. ",catachiii,Humanoid Robot,,Research Platform,https://github.com/catachiii/crl-humanoid-ros,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:knoxsbyte/argos,argos,A  fully end-to-end framework for coordinating swarms of Unitree G1 humanoid robots to autonomously clean rooms,knoxsbyte,Humanoid Robot,,Research Platform,https://github.com/knoxsbyte/argos,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:ahornung/humanoid_navigation,humanoid_navigation,ROS stack with footstep planning and localization for humanoid robots: http://wiki.ros.org/humanoid_navigation,ahornung,Humanoid Robot,,Research Platform,https://github.com/ahornung/humanoid_navigation,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:hitchopen/hope,HOPE,"HOPE is an open platform for humanoid robot table tennis. The challenge invites teams to deploy whole-body humanoid controllers that can rally a ping-pong ball against human opponents or other robots, using off-the-shelf humanoid hardware and an open-source perception and planning stack.",hitchopen,Humanoid Robot,,Research Platform,https://github.com/hitchopen/HOPE,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:rhoban/ikwalk,IKWalk,Open loop walk engine for small humanoid robots,Rhoban,Humanoid Robot,,Research Platform,https://github.com/Rhoban/IKWalk,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:zyuonrobotics/humanoid-retarget,humanoid-retarget,Retargeting motion from human to humanoid robots.,ZyuonRobotics,Humanoid Robot,,Research Platform,https://github.com/ZyuonRobotics/humanoid-retarget,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:gtziafas/humanoid-dexart-retarget,humanoid-dexart-retarget,Retargeting of whole-body human motion to humanoid robots for dexterous manipulation of articulated objects.,gtziafas,Humanoid Robot,,Research Platform,https://github.com/gtziafas/humanoid-dexart-retarget,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:maxling/particle_filter_slam,particle_filter_SLAM,"SLAM with occupancy grid and particle filter, using lidar, joints, IMU and odometry data from THOR humanoid robot",MaxLing,Humanoid Robot,,Research Platform,https://github.com/MaxLing/particle_filter_SLAM,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:ut-austin-rpl/okami,OKAMI,OKAMI: Teaching Humanoid Robots Manipulation Skills through Single Video Imitation,UT-Austin-RPL,Humanoid Robot,,Commercial Product,https://ut-austin-rpl.github.io/OKAMI,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:jalil32/g1-isaac-groot-n1,g1-isaac-groot-n1,This project aims to fine-tune and deploy NVIDIA's Isaac GR00T N1 model to the unitree G1 humanoid robot,Jalil32,Humanoid Robot,,Research Platform,https://github.com/Jalil32/g1-isaac-groot-n1,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:menloresearch/opencrane,opencrane,OpenCrane is an open-source crane for humanoid robots.,menloresearch,Humanoid Robot,,Research Platform,https://github.com/menloresearch/opencrane,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:physical-superintelligence-lab/humanoid-teleop,Humanoid-Teleop,Teleoperation and data collection pipeline for humanoid robots,physical-superintelligence-lab,Humanoid Robot,,Research Platform,https://github.com/physical-superintelligence-lab/Humanoid-Teleop,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:hyperspawn/dropbear,Dropbear,"Dropbear Humanoid Robot - an advanced humanoid robot designed to operate in varied environments, showcasing agility, precision, and intelligence.",Hyperspawn,Humanoid Robot,,Commercial Product,https://hyperspawn.co,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:junhengl/mirror,mirror,Source Code for MIRROR: Visual Motion Imitation via Real-time Retargeting and Teleoperation on Humanoid Robots with Parallel Differential Inverse Kinematics,junhengl,Humanoid Robot,,Commercial Product,https://caltech-amber.github.io/mirror,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:skylark0924/rofunc-ros,Rofunc-ros,A Ros Package for Human-centered Interactive Intelligent Humanoid Robots,Skylark0924,Humanoid Robot,,Research Platform,https://github.com/Skylark0924/Rofunc-ros,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:igusgmbh/humanoidopenplatform,HumanoidOpenPlatform,Evolutionary leap for humanoid robots,igusGmbH,Humanoid Robot,,Research Platform,https://github.com/igusGmbH/HumanoidOpenPlatform,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:beijingdynamics/sprite_humanoid_freecad,sprite_humanoid_freecad,FreeCAD hardware source files for the Sprite humanoid robot,BeijingDynamics,Humanoid Robot,,Research Platform,https://github.com/BeijingDynamics/sprite_humanoid_freecad,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:acodedog/safehumanoidspolicy,SafeHumanoidsPolicy,End-to-End Humanoid Robot Safe and Comfortable Locomotion Policy,aCodeDog,Humanoid Robot,,Research Platform,https://github.com/aCodeDog/SafeHumanoidsPolicy,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:arefmq/soccerballdetection,SoccerBallDetection,This project is aimed to detect the soccer ball via camera. This project orginally is to solve the ball detection problem for the humanoid robots (Humanoid league and SPL) in RoboCup competitions.,ArefMq,Humanoid Robot,,Research Platform,https://github.com/ArefMq/SoccerBallDetection,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:gbionics/whole-body-estimators,whole-body-estimators,YARP devices that implement estimators for humanoid robots.,gbionics,Humanoid Robot,,Research Platform,https://github.com/gbionics/whole-body-estimators,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:haritsahm/monte-carlo-localization,monte-carlo-localization,Augmented Monte Carlo Localization - Humanoid Robot,haritsahm,Humanoid Robot,,Research Platform,https://github.com/haritsahm/monte-carlo-localization,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:ozkannceylan/humanoid_vla,humanoid_vla,End-to-end VLA humanoid robot in MuJoCo: ACT model on Unitree G1 with ROS 2 NL interface and OOD generalization study.,ozkannceylan,Humanoid Robot,,Research Platform,https://github.com/ozkannceylan/humanoid_vla,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:pr2-humanoid/pr2-platform,PR2-Platform,"PR2 is a humanoid robot testbed designed for both entry-level students and professional users with supports in bipedal locomotion, multi-modal manipulation, and interaction with vision and language foundation models.",pr2-humanoid,Humanoid Robot,,Commercial Product,https://pr2-humanoid.github.io,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:watonomous/humanoid,humanoid,Building UWaterloo's First Humanoid Robot - Pioneer,WATonomous,Humanoid Robot,,Commercial Product,https://watonomous.github.io/humanoid-docs/index.html,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22humanoid+robot%22+in%3Aname%2Cdescription+stars%3A%3E2,False
robot:hightorque-robotics/panthera-ht_main,Panthera-HT_Main,Introduction to the Panthera-HT robotic arm,HighTorque-Robotics,Industrial Arm,,Research Platform,https://github.com/HighTorque-Robotics/Panthera-HT_Main,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
robot:elephantrobotics/mycobot,myCobot,myCobot is the World's Smallest Collaborative Robot Arm. ,elephantrobotics,Industrial Arm,,Research Platform,https://github.com/elephantrobotics/myCobot,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
robot:gabryxx7/robotarmhelix,RobotArmHelix,"3D Simulation, forward and inverse kinematics of a robotic arm in C# using WPF and helix-toolkit",Gabryxx7,Industrial Arm,,Research Platform,https://github.com/Gabryxx7/RobotArmHelix,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
robot:real-stanford/arx5-sdk,arx5-sdk,C++ and Python controller for ARX5 robot arm developed by @yihuai-gao (@real-stanford),real-stanford,Industrial Arm,,Research Platform,https://github.com/real-stanford/arx5-sdk,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
robot:alishug/evoarm,EvoArm,An open-source 3D-printable robotic arm,AliShug,Industrial Arm,,Research Platform,https://github.com/AliShug/EvoArm,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
robot:shilicon/kr260_robotic_arm,kr260_robotic_arm,A robotic arm controller design based on AMD/Xilinx KR260 FPGA dev-kit.,shilicon,Industrial Arm,,Research Platform,https://github.com/shilicon/kr260_robotic_arm,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
robot:robstride/edulite_a3,EDULITE_A3,Lightweight fully open-source 6-DOF robotic arm,RobStride,Industrial Arm,,Research Platform,https://github.com/RobStride/EDULITE_A3,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
robot:dbddqy/visual_kinematics,visual_kinematics,simple python-based kinematics solver for robot arm,dbddqy,Industrial Arm,,Research Platform,https://github.com/dbddqy/visual_kinematics,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
robot:hobofan/collected-robotic-arms,collected-robotic-arms,Collection of Robotic Arms and related resources,hobofan,Industrial Arm,,Research Platform,https://github.com/hobofan/collected-robotic-arms,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
robot:pacogarcia3/hta0-horizontal-robot-arm,hta0-horizontal-robot-arm,Horizontal Robot Arm HTA0,pacogarcia3,Industrial Arm,,Research Platform,https://github.com/pacogarcia3/hta0-horizontal-robot-arm,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
robot:ragtime-lab/ragtime_panthera,Ragtime_Panthera,A set of six axis gripper robotic arm based on DM actuator.,Ragtime-LAB,Industrial Arm,,Research Platform,https://github.com/Ragtime-LAB/Ragtime_Panthera,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
robot:ftobler/robotarm,robotArm,Software for a 3D Printed Robot Arm,ftobler,Industrial Arm,,Research Platform,https://github.com/ftobler/robotArm,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
robot:creativeinquiry/ofxrobotarm,ofxRobotArm,A collection of universal classes used for robotic arm control software ,CreativeInquiry,Industrial Arm,,Research Platform,https://github.com/CreativeInquiry/ofxRobotArm,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
robot:yao62995/as_6dof_arm,AS_6Dof_Arm,"robot arm by ROS & Moveit, Train Deep Reinforcement Algorithms",yao62995,Industrial Arm,,Research Platform,https://github.com/yao62995/AS_6Dof_Arm,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
robot:real-stanford/flingbot,flingbot,[CoRL 2021 Best System Paper] This repository contains code for training and evaluating FlingBot in both simulation and real-world settings on a dual-UR5 robot arm setup for Ubuntu 18.04,real-stanford,Industrial Arm,,Commercial Product,https://flingbot.cs.columbia.edu,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
robot:epfl-lasa/ridgeback_ur5_controller,ridgeback_ur5_controller,Several controllers to move Ridgeback mobile-robot and UR5 robotic-arm.,epfl-lasa,Industrial Arm,,Research Platform,https://github.com/epfl-lasa/ridgeback_ur5_controller,GitHub Robotics Search,https://api.github.com/search/repositories?q=%22robotic+arm%22+in%3Aname%2Cdescription+stars%3A%3E5,False
